Hour,Price,Vmin_pu,VminBus,Loss_pu,LossCost
1,0.6,0.958197307234685,18,0.0052587901151536,0.00315527406909216
2,0.6,0.959398336133668,18,0.00493412293648214,0.00296047376188928
3,0.6,0.960596708491796,18,0.00462052409439393,0.00277231445663636
4,0.6,0.961193911201547,18,0.00446771011440652,0.00268062606864391
5,0.6,0.960596708491796,18,0.00462052409439393,0.00277231445663636
6,0.6,0.958197307234685,18,0.0052587901151536,0.00315527406909216
7,1,0.954383619483073,18,0.00679979423563206,0.00679979423563206
8,1,0.950000009129208,18,0.00881240301996912,0.00881240301996912
9,1,0.950000001771163,18,0.0106410713937113,0.0106410713937113
10,1,0.95000000173733,18,0.0111417566367758,0.0111417566367758
11,1,0.950000001771163,18,0.0106410713937113,0.0106410713937113
12,1,0.950000001741603,18,0.010162653730816,0.010162653730816
13,1,0.950000002604403,18,0.00969545263976733,0.00969545263976733
14,1,0.950000004432149,18,0.00924519561800782,0.00924519561800782
15,1,0.950000003369194,18,0.00946818592738206,0.00946818592738206
16,1,0.950000001771163,18,0.0106410713937113,0.0106410713937113
17,1.8,0.950000000763105,16,0.0132047282886442,0.0237685109195596
18,1.8,0.950000000403967,16,0.0165477021245421,0.0297858638241757
19,1.8,0.950000000347225,16,0.0197553032849955,0.035559545912992
20,1.8,0.950000000358914,16,0.0206371728035699,0.0371469110464258
21,1.8,0.950000000356557,16,0.0173041747860541,0.0311475146148973
22,0.9,0.950000001810668,18,0.0119646349624298,0.0107681714661868
23,0.9,0.950381433257604,18,0.00803500040027988,0.00723150036025189
24,0.9,0.956426612941045,18,0.00612004081092212,0.00550803672982991
