Hour,Price,Vmin_pu,VminBus,Loss_pu,LossCost
1,0.6,0.950000000323734,18,0.00706324862751087,0.00423794917650652
2,0.6,0.950000000310802,18,0.00681309771107316,0.0040878586266439
3,0.6,0.951278462511545,18,0.00644994436129237,0.00386996661677542
4,0.6,0.95215643757016,18,0.00621311275387789,0.00372786765232673
5,0.6,0.951278462511533,18,0.00644994436136138,0.00386996661681683
6,0.6,0.950000000323734,18,0.00706324862740115,0.00423794917644069
7,1,0.950000000265258,18,0.00739900074795328,0.00739900074795328
8,1,0.950000000139469,18,0.00775043254499162,0.00775043254499162
9,1,0.950000000185066,18,0.00800775846812985,0.00800775846812985
10,1,0.950000000161795,18,0.00798525942923522,0.00798525942923522
11,1,0.950000000185066,18,0.00800775846812985,0.00800775846812985
12,1,0.950000000174844,18,0.00790401982183997,0.00790401982183997
13,1,0.950000000159657,18,0.00780276342669274,0.00780276342669274
14,1,0.950000000151239,18,0.00775888408715357,0.00775888408715357
15,1,0.950000000156184,18,0.00776456166331125,0.00776456166331125
16,1,0.950000000185066,18,0.00800775846812985,0.00800775846812985
17,1.8,0.950000000162816,18,0.00849557177348865,0.0152920291922796
18,1.8,0.950000000135559,18,0.00893110210297887,0.016075983785362
19,1.8,0.9500000001384,18,0.00876536698074406,0.0157776605653393
20,1.8,0.950000000139001,18,0.0081919811406627,0.0147455660531929
21,1.8,0.950000000138891,18,0.00900181263315131,0.0162032627396724
22,0.9,0.950000000166054,18,0.0082500630917543,0.00742505678257887
23,0.9,0.950000000154299,18,0.00751746673846859,0.00676572006462173
24,0.9,0.950000000314724,18,0.00732548707729269,0.00659293836956342
