Hour,Price,Vmin_pu,VminBus,Loss_pu,LossCost
1,0.6,0.9495933399056,18,0.00717966647712088,0.00430779988627253
2,0.6,0.949657785033292,18,0.00686211437401108,0.00411726862440665
3,0.6,0.951273167121756,18,0.00645517556940443,0.00387310534164266
4,0.6,0.952155044829114,18,0.0062252750506355,0.0037351650303813
5,0.6,0.951273167121756,18,0.00645517556940443,0.00387310534164266
6,0.6,0.9495933399056,18,0.00717966647712088,0.00430779988627253
7,1,0.94131871450282,18,0.0096430784355384,0.0096430784355384
8,1,0.932646362991118,18,0.012687498822594,0.012687498822594
9,1,0.925602985417289,18,0.0154634239831328,0.0154634239831328
10,1,0.9238269787083,18,0.0162061850126196,0.0162061850126196
11,1,0.925602985417289,18,0.0154634239831328,0.0154634239831328
12,1,0.927372863901989,18,0.014740360645334,0.014740360645334
13,1,0.929136677933097,18,0.0140368103066332,0.0140368103066332
14,1,0.93089449041268,18,0.0133525828630555,0.0133525828630555
15,1,0.930016330489939,18,0.013692292405747,0.013692292405747
16,1,0.925602985417287,18,0.0154634239831304,0.0154634239831304
17,1.8,0.916660351070221,18,0.0193780891012708,0.0348805603822875
18,1.8,0.907556018599549,18,0.0238101851809357,0.0428583333256842
19,1.8,0.900149950075914,18,0.0277465375129849,0.0499437675233728
20,1.8,0.898280747168518,18,0.0287868104733325,0.0518162588519984
21,1.8,0.905714950587675,18,0.0247610370738822,0.044569866732988
22,0.9,0.921151335588966,18,0.0173576792029232,0.0156219112826309
23,0.9,0.93613253012008,18,0.011414051315,0.0102726461835
24,0.9,0.944748120944736,18,0.00855327661020802,0.00769794894918722
