Hour,Price,Vmin_pu,VminBus,Loss_pu,LossCost
1,0.6,0.950000001177169,18,0.00706491886439287,0.00423895131863572
2,0.6,0.950000000857715,18,0.00681449263044118,0.00408869557826471
3,0.6,0.951271806306961,18,0.00647933512353084,0.0038876010741185
4,0.6,0.952145703137358,18,0.00625938882644888,0.00375563329586933
5,0.6,0.951271806306935,18,0.0064793351236232,0.00388760107417392
6,0.6,0.950000001177169,18,0.0070649188654111,0.00423895131924666
7,1,0.950000001270938,18,0.00748099565639464,0.00748099565639464
8,1,0.950000000437668,18,0.00775185859939866,0.00775185859939866
9,1,0.950000000485319,18,0.00797115598955698,0.00797115598955698
10,1,0.950000000527546,18,0.00807504376809682,0.00807504376809682
11,1,0.950000000485319,18,0.00797115598955698,0.00797115598955698
12,1,0.950000000443801,18,0.00786973952142833,0.00786973952142833
13,1,0.950000000412906,18,0.00785440050345447,0.00785440050345447
14,1,0.950000000381446,18,0.00784392371318133,0.00784392371318133
15,1,0.950000000385259,18,0.00784869778661585,0.00784869778661585
16,1,0.950000000485319,18,0.00797115598955698,0.00797115598955698
17,1.8,0.950000000484872,18,0.00847318085350591,0.0152517255363106
18,1.8,0.950000000402705,18,0.00898504986356471,0.0161730897544165
19,1.8,0.950000000445855,18,0.00930757054136937,0.0167536269744649
20,1.8,0.950000000440348,18,0.00938554615004829,0.0168939830700869
21,1.8,0.95000000045146,18,0.00907634531616218,0.0163374215690919
22,0.9,0.950000000488649,18,0.00815304438121468,0.00733773994309322
23,0.9,0.95000000107427,18,0.00741888990043148,0.00667700091038833
24,0.9,0.950000001247846,18,0.00732194206911633,0.00658974786220469
