Hour,Price,Vmin_pu,VminBus,Loss_pu,LossCost
1,0.6,0.95000000335279,18,0.00706447373856414,0.00423868424313849
2,0.6,0.95000000159547,18,0.00681420013371333,0.004088520080228
3,0.6,0.951276645170795,18,0.00645912664765265,0.00387547598859159
4,0.6,0.952149388706958,18,0.00623766629086439,0.00374259977451863
5,0.6,0.951276645170879,18,0.00645912664694138,0.00387547598816483
6,0.6,0.95000000335279,18,0.00706447373771381,0.00423868424262829
7,1,0.95000000308691,18,0.00746024602716046,0.00746024602716046
8,1,0.950000001339545,18,0.00764725915781503,0.00764725915781503
9,1,0.950000001686409,18,0.00808909068945806,0.00808909068945806
10,1,0.950000001788245,18,0.00820571382490126,0.00820571382490126
11,1,0.950000001686409,18,0.00808909068945806,0.00808909068945806
12,1,0.95000000160276,18,0.007975145344328,0.007975145344328
13,1,0.950000001495166,18,0.00786387714337557,0.00786387714337557
14,1,0.95000000141649,18,0.00771219165479013,0.00771219165479013
15,1,0.950000001496727,18,0.0077462165670948,0.0077462165670948
16,1,0.950000001686409,18,0.00808909068945806,0.00808909068945806
17,1.8,0.950000001572545,18,0.00838471364030008,0.0150924845525402
18,1.8,0.950000001734884,18,0.00891252531635111,0.016042545569432
19,1.8,0.950000002252748,18,0.00935051623542095,0.0168309292237577
20,1.8,0.950000002415973,18,0.00946079199130725,0.0170294255843531
21,1.8,0.950000001715334,18,0.00899399710989983,0.0161891947978197
22,0.9,0.950000001570153,18,0.00832189057307678,0.0074897015157691
23,0.9,0.950000001020235,18,0.00767774460310657,0.00690997014279591
24,0.9,0.950000003152847,18,0.0073033200232816,0.00657298802095344
